Contour Area,Mean,Blinking,Emotion,Music
335,27.914326,1,1,1
,,,,
399,28.337528,0,4,1
,,,,
399,28.748968,0,5,1
,,,,
399,29.148647,1,5,1
,,,,
399,28.891123,1,4,1
,,,,
399,28.640976,0,5,1
,,,,
399,29.029629,0,4,1
,,,,
399,28.798296,0,5,1
,,,,
399,29.187735,1,5,1
,,,,
374,28.71561,1,5,1
,,,,
335,28.481,1,3,1
,,,,
317.5,28.25826,0,3,1
,,,,
348,28.03655,1,3,1
,,,,
335,27.808393,1,5,1
,,,,
317,27.58824,0,5,1
,,,,
335,27.36759,1,3,1
,,,,
399,26.9371,1,3,1
,,,,
335,26.737514,0,3,1
,,,,
381,26.642452,0,3,1
,,,,
335,27.006449,1,3,1
,,,,
399,27.373137,0,3,1
,,,,
399,27.73351,0,3,1
,,,,
350.5,27.63352,0,3,1
,,,,
335,27.430147,0,3,1
,,,,
399,27.227652,0,3,1
,,,,
399,27.392601,1,3,1
,,,,
399,27.458977,1,3,1
,,,,
399,27.797485,1,3,1
,,,,
335,27.964708,0,3,1
,,,,
399,27.864893,0,3,1
,,,,
399,27.775972,0,3,1
,,,,
335,27.685783,1,3,1
,,,,
304,27.756018,0,3,1
,,,,
399,27.570549,1,3,1
,,,,
399,27.386007,0,3,1
,,,,
371,27.294552,0,3,1
,,,,
306,27.614769,1,3,1
,,,,
399,27.520521,0,5,1
,,,,
304,27.687721,1,3,1
,,,,
399,27.592407,1,3,1
,,,,
335,27.499247,0,5,1
,,,,
399,27.405277,1,3,1
,,,,
399,27.319038,0,3,1
399,nan,1,5,1
,,,,
310,72.655594,1,5,1
,,,,
335,71.45879,1,3,1
,,,,
399,44.14711,1,3,1
,,,,
399,37.496365,0,3,1
,,,,
399,32.854027,0,3,1
,,,,
399,34.278225,1,3,1
,,,,
399,38.153145,0,3,1
,,,,
399,39.138058,1,3,1
,,,,
370,33.849953,0,3,1
,,,,
306,31.804108,1,3,1
,,,,
368,34.71094,0,3,1
,,,,
335,34.968704,0,3,1
,,,,
368,31.733637,1,3,1
,,,,
335,29.448553,1,5,1
,,,,
304,27.439363,1,5,1
,,,,
335,30.684164,1,3,1
,,,,
304,28.572298,0,3,1
,,,,
399,31.238523,1,3,1
,,,,
335,33.512268,0,3,1
,,,,
399,32.606007,1,3,1
,,,,
399,33.535095,1,3,1
,,,,
399,32.64084,1,3,1
,,,,
368,32.71753,0,3,1
,,,,
306,31.11223,1,3,1
,,,,
335,32.89087,1,3,1
,,,,
335,32.13156,0,3,1
,,,,
399,30.851204,1,3,1
,,,,
335,32.5766,1,3,1
,,,,
399,31.286661,0,3,1
,,,,
337,30.083479,1,5,1
,,,,
399,31.63861,0,3,1
,,,,
399,33.078682,0,3,1
,,,,
374,32.667076,0,3,1
,,,,
370,33.515095,1,3,1
,,,,
399,33.085976,1,3,1
,,,,
335,33.338634,0,3,1
,,,,
399,34.629784,0,3,1
,,,,
399,35.059856,0,3,1
,,,,
399,35.764435,0,3,1
,,,,
399,36.10705,1,5,1
